",State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"117786,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,03:00,2022-01-05,11:00,0.402,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117787,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,04:00,2022-01-05,12:00,0.473,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117788,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,05:00,2022-01-05,13:00,0.608,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117789,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,06:00,2022-01-05,14:00,0.802,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117790,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,07:00,2022-01-05,15:00,1.006,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117791,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,08:00,2022-01-05,16:00,1.042,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117792,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,09:00,2022-01-05,17:00,0.605,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117793,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,10:00,2022-01-05,18:00,0.347,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117794,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,11:00,2022-01-05,19:00,0.224,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117795,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,12:00,2022-01-05,20:00,0.224,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117796,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,13:00,2022-01-05,21:00,0.207,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117797,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,14:00,2022-01-05,22:00,0.215,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117798,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,15:00,2022-01-05,23:00,0.215,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117799,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,16:00,2022-01-06,00:00,0.272,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117800,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,17:00,2022-01-06,01:00,0.545,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117801,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,18:00,2022-01-06,02:00,0.894,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117802,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,19:00,2022-01-06,03:00,1.274,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117803,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,20:00,2022-01-06,04:00,1.058,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117804,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,21:00,2022-01-06,05:00,0.562,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117805,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,22:00,2022-01-06,06:00,0.596,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117806,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-05,23:00,2022-01-06,07:00,0.44,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117807,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,00:00,2022-01-06,08:00,0.362,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117808,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,01:00,2022-01-06,09:00,0.361,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117809,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,02:00,2022-01-06,10:00,0.372,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117810,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,03:00,2022-01-06,11:00,0.369,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117811,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,04:00,2022-01-06,12:00,0.399,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117812,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,05:00,2022-01-06,13:00,0.51,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117813,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,06:00,2022-01-06,14:00,0.482,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117814,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,07:00,2022-01-06,15:00,0.82,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117815,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,08:00,2022-01-06,16:00,0.564,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117816,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,09:00,2022-01-06,17:00,0.329,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117817,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,10:00,2022-01-06,18:00,0.249,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117818,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,11:00,2022-01-06,19:00,0.226,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117819,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,12:00,2022-01-06,20:00,0.198,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117820,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,13:00,2022-01-06,21:00,0.195,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117821,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,14:00,2022-01-06,22:00,0.243,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117822,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,15:00,2022-01-06,23:00,0.228,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117823,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,16:00,2022-01-07,00:00,0.251,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117824,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,17:00,2022-01-07,01:00,0.447,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117825,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,18:00,2022-01-07,02:00,0.623,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117826,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,19:00,2022-01-07,03:00,0.98,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117827,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,20:00,2022-01-07,04:00,1.082,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117828,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,21:00,2022-01-07,05:00,1.198,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117829,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,22:00,2022-01-07,06:00,1.462,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117830,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-06,23:00,2022-01-07,07:00,0.951,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117831,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,00:00,2022-01-07,08:00,0.596,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117832,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,01:00,2022-01-07,09:00,0.578,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117833,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,02:00,2022-01-07,10:00,0.568,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117834,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,03:00,2022-01-07,11:00,0.569,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117835,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,04:00,2022-01-07,12:00,0.575,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117836,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,05:00,2022-01-07,13:00,0.558,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117837,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,06:00,2022-01-07,14:00,0.652,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117838,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,07:00,2022-01-07,15:00,0.853,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117839,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,08:00,2022-01-07,16:00,0.749,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117840,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,09:00,2022-01-07,17:00,0.573,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117841,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,10:00,2022-01-07,18:00,0.481,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117842,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,11:00,2022-01-07,19:00,0.364,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117843,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,12:00,2022-01-07,20:00,0.342,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117844,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,13:00,2022-01-07,21:00,0.378,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117845,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,14:00,2022-01-07,22:00,0.308,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117846,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,15:00,2022-01-07,23:00,0.264,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117847,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,16:00,2022-01-08,00:00,0.247,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117848,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,17:00,2022-01-08,01:00,0.303,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117849,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,18:00,2022-01-08,02:00,0.344,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117850,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,19:00,2022-01-08,03:00,0.344,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117851,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,20:00,2022-01-08,04:00,0.334,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117852,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,21:00,2022-01-08,05:00,0.404,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117853,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,22:00,2022-01-08,06:00,0.471,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117854,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-07,23:00,2022-01-08,07:00,0.451,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117855,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,00:00,2022-01-08,08:00,0.343,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117856,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,01:00,2022-01-08,09:00,0.236,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117857,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,02:00,2022-01-08,10:00,0.175,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117858,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,03:00,2022-01-08,11:00,0.187,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117859,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,04:00,2022-01-08,12:00,0.185,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117860,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,05:00,2022-01-08,13:00,0.182,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117861,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,06:00,2022-01-08,14:00,0.171,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117862,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,07:00,2022-01-08,15:00,0.174,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117863,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,08:00,2022-01-08,16:00,0.23,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117864,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,09:00,2022-01-08,17:00,0.202,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117865,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,10:00,2022-01-08,18:00,0.19,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117866,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,11:00,2022-01-08,19:00,0.185,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117867,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,12:00,2022-01-08,20:00,0.174,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117868,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,13:00,2022-01-08,21:00,0.165,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117869,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,14:00,2022-01-08,22:00,0.173,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117870,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,15:00,2022-01-08,23:00,0.2,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117871,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,16:00,2022-01-09,00:00,0.222,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117872,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,17:00,2022-01-09,01:00,0.254,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117873,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,18:00,2022-01-09,02:00,0.252,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117874,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,19:00,2022-01-09,03:00,0.261,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117875,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,20:00,2022-01-09,04:00,0.272,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117876,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,21:00,2022-01-09,05:00,0.321,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117877,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,22:00,2022-01-09,06:00,0.47,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117878,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-08,23:00,2022-01-09,07:00,0.646,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117879,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,00:00,2022-01-09,08:00,0.6,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117880,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,01:00,2022-01-09,09:00,0.728,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117881,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,02:00,2022-01-09,10:00,0.733,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117882,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,03:00,2022-01-09,11:00,0.7,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117883,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,04:00,2022-01-09,12:00,0.499,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117884,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,05:00,2022-01-09,13:00,0.371,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117885,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,06:00,2022-01-09,14:00,0.377,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117886,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,07:00,2022-01-09,15:00,0.458,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117887,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-09,08:00,2022-01-09,16:00,0.396,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
