",State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"117709,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,22:00,2022-01-02,06:00,1.091,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117710,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-01,23:00,2022-01-02,07:00,0.717,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117711,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,00:00,2022-01-02,08:00,0.782,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117712,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,01:00,2022-01-02,09:00,0.914,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117713,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,02:00,2022-01-02,10:00,0.887,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117714,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,03:00,2022-01-02,11:00,0.901,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117715,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,04:00,2022-01-02,12:00,1.038,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117716,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,05:00,2022-01-02,13:00,1.107,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117717,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,06:00,2022-01-02,14:00,0.951,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117718,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,07:00,2022-01-02,15:00,0.723,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
"117719,6,19,11,42101,3,36.78538,-119.77321,NAD83,Carbon monoxide,2022-01-02,08:00,2022-01-02,16:00,0.569,Parts per million,0.011,,1.0,FRM,593,INSTRUMENTAL - Gas Filter Correlation Teledyne API 300 EU,California,Fresno,2022-09-23"
