"State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change"
"240859,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,00:00,1980-01-02,08:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240860,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,01:00,1980-01-02,09:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240861,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,02:00,1980-01-02,10:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240862,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,03:00,1980-01-02,11:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240863,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,04:00,1980-01-02,12:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240864,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,05:00,1980-01-02,13:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240865,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,06:00,1980-01-02,14:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240866,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,07:00,1980-01-02,15:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240867,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,08:00,1980-01-02,16:00,0.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240868,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,09:00,1980-01-02,17:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240869,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,10:00,1980-01-02,18:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240870,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,11:00,1980-01-02,19:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240871,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,12:00,1980-01-02,20:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240872,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,13:00,1980-01-02,21:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240873,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,14:00,1980-01-02,22:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240874,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,15:00,1980-01-02,23:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240875,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,16:00,1980-01-03,00:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240876,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,17:00,1980-01-03,01:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240877,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,18:00,1980-01-03,02:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
"240878,6,19,1,42101,1,36.145789,-120.359316,WGS84,Carbon monoxide,1980-01-02,19:00,1980-01-03,03:00,1.0,Parts per million,0.5,,,Non-FRM,11,INSTRUMENTAL - NONDISPERSIVE INFRARED,California,Fresno,"
